Train No	Train Name
4231	PYG-AY MAHA KUMBH SPL
4232	FD-PRG MAHA KUMBH SPL
4235	PYG-FD MAHA KUMBH SPL
4236	FD-PRG MAHA KUMBH SPL
4237	PYG-FD MAHA KUMBH SPL
4238	FD-PRG MAHA KUMBH SPL
4250	LKO-PRG MAHA KUMBH SPL
4251	PYG-ZBD MAHA KUMBH SPL
4253	PYG-ZBD MAHA KUMBH SPL
4255	PYG-ZBD MAHA KUMBH SPL
4257	PYG-ZBD MAHA KUMBH SPL
4259	PYG-ZBD MAHA KUMBH SPL
4261	LTT-BSB TEACHER SPL
4262	BSB-LTT TEACHER SPL
4263	PYG-ZBD MAHA KUMBH SPL
4265	PYG-ZBD MAHA KUMBH SPL
4267	PYG-ZBD MAHA KUMBH SPL
4269	PYG-ZBD MAHA KUMBH SPL
4271	PYG-ZBD MAHA KUMBH SPL
4273	PYG-ZBD MAHA KUMBH SPL
4275	PYG-ZBD MAHA KUMBH SPL
4277	PYG-ZBD MAHA KUMBH SPL
4279	PYG-ZBD MAHA KUMBH SPL
4281	PYG-ZBD MAHA KUMBH SPL
4313	DBG-BE HOLI SPL
4314	BE-DBG HOLI SPECIAL
4315	MFP-HW SPECIAL EXPRESS
4316	HW-MFP SPECIAL EXPRESS
4321	PRG HW SPL
4501	MFP-UMB SPECIAL EXPRESS
4502	UMB-MFP CPECIAL EXPRESS
4503	SHC-UMB SPECIAL TRAIN
4504	LDH-SHC SPECIAL TRAIN
4505	BSB-CDG SPECIAL TRAINS
4506	CDG-BSB SPECIAL TRAIN
4511	SRE-UMB MEMU SPL
4512	UMB -SRE MEMU SPL
4514	UMB-SBC SPECIAL
4516	UMB-JP EXPRESS SPECIAL
4601	BJU-ASR SUMMER SPECIAL
4602	ASR-BJUSUMMER SPECIAL
4701	BKN - UDN  SPL
4702	UDN - BKN SPL
4721	SGNR-NED SPL
4722	NED SGNR  SF EX
4723	SGNR-ST SPL
4724	ST-SGNR SPL
4731	SDLP-SUJH EXP SPL
4732	CUR-SDLP EXP SPL
4739	BKN PURI SPL
4741	HSR SSA SPL PASS
4742	SSA HSR SPL PASS
4751	JP-BKN SPL
4752	BKN-JP SPL
4801	JU-JSM SPL
4802	JSM - JU SPL
4803	BGKT - ADI EXPRESS
4804	ADI - BGKT
4805	JP-AWR SPL
4806	KRH-AWR/SPL
4809	JU PURI SPL
4821	JP-JU/SF SPL
4822	JU-JP
4853	JU - BLDI SPL
4854	BLDI - JU SPL
4911	NZM BEAS SPL
4912	BEAS  NZM SPL
4917	SRE BEAS SPL
4918	BEAS SRE SPL
5009	JSME-GKP-EXP
5010	GKP-SGG  SPL
5011	SGG-JSME-EXP
5013	BGKT DLI SPL
5023	GKP PUNE HOLIDAYEXP
5024	GKP-PUNE-EXP
5027	GKP-ANVT HOLIDAY SPL
5028	ANVT-GKP HOLIDAY SPL
5031	GKP-LTT HOLIDAY SPL.
5032	LTT-GKP HOLIDAY SPL.
5033	GKP-BDTS SPL
5034	BDTS-GKP SPL
5037	GKP-ANVR HOLIDAY SPL
5038	ANVR-GKP HOLIDAY SPL
5039	GKP-ANVR-SPL
5040	ANVR-GKP HOLIDAY SPL
5057	CPR-LKU-SPL
5058	LKU-CPR HOLIDAY SPL
5059	LJN-LKU-SPL
5060	LKU-LJN-SPL
5061	GKP-JI SPL
5062	JI-GKP SPL
5063	GKP-JI SPL
5064	JI-GKP SPL
5065	CPR-LJN
5066	LJN-CPR-EXP
5101	CPR - DLI  SUMMER SPL
5102	NDLS-CPR SUMMER SPL
5103	CPR-AII-SPL
5104	AII-CPR-SPL
5115	CPR-LJN-EXP
5116	LJN-CPR-EXP
5151	MUV-ALY-SPL
5152	ALY-MUV-SPL
5153	MUV-ALY/JI SPL
5154	ALY-MUV-SPL
5155	MUV-ALY-SPL
5156	ALY-MUV-SPL
5159	MUV-ALY-SPL
5160	ALY-MUV-SPL
5171	MAU-ALY
5172	ALY-MAU-SPL
5181	BTT-ALY
5182	JI-BTT SPL
5183	BTT-JI SPL
5184	JI-BTT SPL
5185	BTT-JI SPL
5186	JI-BTT SPL
5187	BTT-JI SPL
5188	JI-BTT SPL
5191	CPR-JI-SPL
5192	CPR-ALY-SPL
5193	CPR-ALY-SPL
5194	JI-CPR-SPL
5195	CPR-JI-SPL
5196	ALY-CPR SPL
5211	SHC-SRE SUMMER SPL.
5212	SRE-SHC SUMMER SPL.
5213	DBG-ANVT HOLIDAY SPL
5214	ANVT-DBG HOLIDAY SPL
5215	SHC-FZR HOLIDAY SPL
5216	FZR-SHC HOLIDAY SPL
5217	DBG-SBC HOLIDAY SPL.
5218	SBC-DBG HOLIDAY SPL
5219	SHC-FZR UNREASERVED SPL.
5220	FZR-SHC UNRESERVED SPL
5281	SMI-MFP PASS
5285	BJU-AJMER URS SPL
5286	AII-BJU URS SPECIAL
5287	DBG ANVT SPL
5288	ANVT-DBG SPL
5289	DBG YPR SUMMER SPL
5290	YPR-DBG SUMMER SPL.
5305	FBD-CPA-EXP
5306	CPA-FBD-EXP
5307	KSJ-BRY HOLIDAY SPL.
5308	BRY-KSJ HOLIDAY SPL
5309	PBE-TPU HOLIDAY SPL
5312	TPU-PBE HOLIDAY SPL
5313	JAIGURU DEV MELA SPL
5314	SZP-PBE MELA SPL
5582	MFP-SMI PASS
5585	JSME-DBG SHRAVANI SPL.
5586	DBG-JSME SHRAVANI SPL.
5587	JSME-NKE SHRAVANI SPL.
5588	NKE-JSME SHRAVANI SPL.
5605	MXN DBRG EXP SPL
5606	DBRG MXN EXP SPL
5611	LTT KYQ SPECIAL
5619	NDLS-KYQ SF SPL
5620	KYQ-NDLS SF SPL
5639	HWH - GHY WEEKLY SPECIAL
5640	GHY - HWH WEEKLY SPECIAL
5652	BSB GHY SPL
5667	KYQ-DBRG SPL
5668	DBRG-KYQ EXPRESS
5697	LMGF-LFG HILL QUEEN
5698	LFG-LMGF HILL QUEEN
5712	AII APDJ SPL
5715	GAREEB NAWAZ EYRAKE
5716	GAREEB NAWAZ EYRAKE
5817	RAJYA RANI EMPTY RAKE
5818	RAJYARANI EMPTY RAKE
5903	DBRG - CDG WEEKLY SPECIAL
5904	CDG - DBRG WEEKLY SPECIAL
5934	DLI DBRG SPL
6001	MAS-QLN WKLY SPL
6002	QLN-MAS WKLY SPL
6003	MANGALORE  EXP
6004	CHENNAI EXP
6005	MAS NCJ EXPRESS
6006	CHENNAI EXP
6007	MAS-QLN WKLY SPL
6008	QLN-MAS WKLY SPL
6009	MAS-QLN SF WKLY SPL
6010	QLN-MAS WKLY SPL
6011	ERS-MAS WKLY SPL
6012	MAS-ERS WKLY SPL
6013	BIKANER EXP
6014	BKN MS SPL
6027	MAS GARIBRATH S
6028	PUNE GR  EXPRES
6035	MS-TN SPL
6036	TN-MS SF SPL
6037	MS-CBE WKLY SPL
6038	CBE-MS WKLY SPL
6039	MS-CBE WKLY SPL
6040	CBE-MS WKLY SPL
6041	MS-CBE WKLY SPL
6042	CBE-MS WKLY SPL
6201	MYS-SNSI SPECIAL
6209	MYS HOWRAH EXP
6301	NAGERCOIL EXP
6302	NCJ VLNK EXP
6315	KOCHUVELI EXP
6316	BANGALORE EXP
6501	SBC-TK EXPRESS SPECIAL
6502	TK-SBC EXPRESS SPECIAL
6511	GARIB RATH
6512	GARIB RATH
6513	SBC-PNBE WEEKLY EXPRESS
6514	PNBE-SBC WEEKLY SPECIAL
6517	YPR-MRJ EXPRESS SPL
6518	MRJ-YPR EXPRESS SPL
6528	GKP YPR SPL
6544	YESVANTPUR EXP
6557	MYS-SBC SPECIAL
6558	SBC-MYS SPECIAL
6559	MYS-YPR SPECIAL
6560	YPR-MYS SPECIAL
6591	YPR-HSRA PASS SPL
6592	HSRA-YPR PASS SPL
6593	YPR-HSRA  PASS SPL
6594	HSRA-YPR PASS SPL
6595	YPR-DHL PASS SPL
6596	DHL-YPR PASS SPL
6745	MAS-TEN WKLY SPL
6746	TEN-MAS WKLY SPL
6747	MS-NCJ SPL
6748	NCJ-MS SF SPL
6749	MAS-TEN SF WKLY SPL
6750	TEN-MAS WKLY SPL
6801	MS-TPJ SF SPL
6802	TPJ-MS SPL
6837	KKDI MNM PASS SPL
6838	MNM KKDI PAS SPL
6839	TPJ KKDI MEMU
6840	KKDI TPJ MEMU
6861	PDY CAPE EXPRES
6862	PUDUCHERRY EXP
6919	UBL-BJP PASS SPL
6920	BJP-UBL PASS SPL
6923	MARWAR EXP
6925	NIZAMUDDIN EXP
6948	UBL VSG LINK EX
7001	HYB-CCT SPL
7002	CCT-HYB SPL
7003	HYB-KOTA HOLIDAY SPEC
7004	KOTA-HYB HOLIDAY SPL
7018	SC ST SPL
7027	VSKP HYB SPECIA
7028	HYB-VSKP SPL
7049	MTM-SC-HOLIDAY-SPL
7050	SC-MTM-HOLIDAY-SPL
7091	HYB  ALD SPL
7092	ALD  HYB  SPL
7101	HYB-COA HOLIDAY SPL
7102	COA-HYB-HOLIDAY SPL
7103	VSKP-SC SPL
7104	SC-VSKP SPL
7105	HYB-KOLLAM SABARI SPLS
7106	KOLLAM-HYB SABARI SPLS
7107	HYB QLN   SPL
7108	SABARIMALAI SPLS
