153,AKOR,AKALKOT ROAD,"17.450683,76.138129"
154,AKOT,AKOT,"21.095391,77.046947"
155,AKP,ANAKAPALLE,"17.695013,83.008361"
156,AKR,AKOLNER,"18.985519,74.66918"
157,AKRA,AKRA,"22.514658,88.249011"
158,AKRD,AKURDI,"18.6484,73.764524"
159,AKS,ANKUSPUR,"25.56753,83.480988"
160,AKT,AKALTARA,"22.029081,82.422009"
161,AKU,ANGALAKUDURU,"16.245455,80.609221"
162,AKV,ANKLESHWAR JN,"21.624359,73.001103"
163,AKVD,AKIVIDU,"16.582894,81.369295"
164,AKW,AKORA,"25.613977,80.140285"
165,AKY,AKKURTI,"13.782903,79.66856"
166,AKZ,AKASHI,"23.406703,84.825611"
167,AL,ATTILI,"16.68002,81.61623"
168,ALAI,ALAI,"27.337567,73.586238"
169,ALAL,ALAL,"30.377836,75.723867"
170,ALB,ALIA BADA,"22.44685,70.210447"
171,ALD,ALLAHABAD JN,"25.445871,81.828446"
172,ALER,ALER,"17.6454853,79.0478714"
173,ALGP,ALGAPUR,"24.754373,92.595538"
174,ALJ,alai,"29.143316,78.932219"
175,ALJN,ALIGARH JN,"27.889194,78.074169"
176,ALK,ALAKKUDI,"10.77748297,79.0535295"
177,ALL,ALAL,"30.377795,75.72081952"
178,ALLP,ALLEPPEY,"9.483519,76.322236"
179,ALM,ALAMANDA,"18.01208,83.271174"
180,ALMR,ALAMPUR,"21.943523,71.698666"
181,ALMW,ALMAW,"25.259445,82.489471"
182,ALN,ALANDI,"18.450789,74.092655"
183,ALNI,ALNIYA,"24.968319,75.942135"
184,ALNP,AKELAHANSPUR(HALT),"28.34095,80.315981"
185,ALP,ALAPAKAM,"11.543271,79.725208"
186,ALPR,ALAMPUR ROAD,"15.895177,78.046532"
187,ALS,AMLORI SARSAR,"26.272021,84.347363"
188,ALU,ARIYALUR,"11.150235,79.068518"
189,ALV,ANKLAV,"22.392936,72.999344"
190,ALW,ALWAR,"17.505289,78.514516"
191,ALY,ALLAHABAD CITY,"25.44254,81.829866"
192,AMA,ATAMANDA,"28.58617,79.468253"
193,AMB,AMBODALA,"19.836476,83.456182"
194,AMBR,AMBIKA ROHINA,"18.43939,76.947899"
195,AMC,AMRITAPURA,"14.139988,76.248894"
196,AMD,AMILA,"26.191026,83.522358"
197,AMDI,AMDI HALT,"21.35254,79.318886"
198,AME,AMETHI,"26.152664,81.805916"
199,AMG,ALAMNAGAR,"26.84743,80.860662"
200,AMH,AZAMGARH,"26.039047,83.161054"
201,AMI,AMRAVATI,"20.9298429,77.7575463"
202,AMIN,AMIN,"29.904688,76.899748"
203,AML,AMALSAD,"20.811323,72.956042"
204,AMLA,AMLA JN,"21.919837,78.123307"
205,AMLI,AMLI,"25.828016,76.286016"
206,AMLO,AMLO,"23.768693,85.980034"
207,AMLP,AMALPUR,"22.161494,73.508663"
208,AMM,ATIRAMPATTINAM,"10.33147,79.384632"
209,AMN,AMIN,"29.904651,76.899662"
210,AMNR,AMMANUR,"10.591265,79.640923"
211,AMO,AMOLWA,"27.210671,84.477997"
212,AMOD,AMOD,"21.988258,72.866135"
213,AMP,AHMADPUR JN,"23.832912,87.693536"
214,AMPA,AMBALA PUZHA,"9.386149,76.363907"
215,AMPL,AMMAPALLI HALT,"25.264103,87.471428"
216,AMPR,AMARPURA RATHAN,"29.483539,74.079093"
217,AMQ,AMMUGUDA,"17.486829,78.527005"
218,AMRO,AMROHA,"28.892328,78.473969"
219,AMS,AMAUSI,"26.77458,80.841694"
220,AMSA,AMMASANDRA,"13.264821,76.7117357"
221,AMT,AMMAPET,"10.779306,79.315538"
222,AMVA,AMARAVILA HALT,"8.396809,77.100062"
223,AMW,AMAN VADI,"20.300197,77.064971"
224,AMX,AMLAKHURD,"21.416158,76.681309"
225,AMY,AKATHUMURI,"8.70016,76.758642"
226,AMZ,AMTA,"22.574389,88.019543"
227,AN,AMALNER,"21.049259,75.057564"
228,ANA,ASLANA,"23.860172,79.319143"
229,ANAS,ANAS,"22.865539,74.421043"
230,ANB,AMMANABROLU,"15.596832,80.148783"
231,ANC,ANNECHAKANAHALI,"12.73814,76.283054"
232,ANCR,ANCHURI,"23.284124,86.993394"
233,AND,ANDAMPALIAM,"12.08816638,79.16872527"
234,ANDI,NEW ADRESHNAGARH,"28.714265,77.166767"
235,ANDN,ANAND NAGAR,"27.103354,83.270338"
236,ANE,ANANTARAJUPET,"13.999702,79.302578"
237,ANF,ANANDAPURAM,"14.073644,75.209484"
238,ANG,AHMADNAGAR,"19.075178,74.721622"
239,ANGL,ANGUL,"20.859935,85.100484"
240,ANGR,ANGADGERI HALT,"16.45164366,75.84566116"
241,ANH,ANKORAH AKORHA,"24.761407,84.169779"
242,ANI,AJANTI,"21.894314,76.286316"
243,ANJ,ANJANGAON,"21.166323,77.318773"
244,ANK,ANKAI,"20.180932,74.45735"
245,ANKI,ANAKHI,"22.074982,72.85399"
246,ANKL,ANKOLA,"14.644877,74.332466"
247,ANM,ANAIMALAI ROAD,"10.624504,76.934681"
248,ANMD,ARANG MAHANADI,"21.189534,81.955433"
249,ANND,ANAND JN,"22.561787,72.966213"
250,ANO,ANJANI,"17.620955,73.399658"
251,ANP,ANANDTANDAVPUR,"11.145561,79.659119"
252,ANPR,ANPARA,"24.217066,82.765846"
253,ANQ,AMNAPUR,"17.049235,74.459324"
254,ANR,ANARA,"23.480882,86.559563"
255,ANSB,ANANDPUR SAHIB,"31.2300436,76.5001335"
256,ANT,ANANTNAG,"0,0"
257,ANTU,ANTU,"26.06326,81.890888"
258,ANU,ANANGUR,"11.39674,77.819853"
259,ANV,ANNAVARAM,"17.269433,82.419477"
260,ANVR,ANAND VIHAR,"28.6490844,77.3144936"
261,ANVT,ANAND VIHAR TERMINAL,"28.64321776,77.30744362"
262,ANW,ANAWAL,"20.84293,73.264389"
263,ANXY,ANAND VIHAR TEST,"0,0"
264,ANY,ARUMUGANERI,"8.579324,78.092022"
265,AO,AONLA,"28.295841,79.16894"
266,AON,ARAON,"27.115903,78.696699"
267,AONI,AMONI,"26.44524429,92.91412694"
268,AOR,ARGORA,"23.346669,85.313988"
269,AP,ASHOKAPURAM,"12.273922,76.635475"
270,APA,AMARPURA,"26.111053,74.249382"
271,APB,ANUPPAMBATTU,"13.304103,80.230579"
272,APD,ALIPUR DUAR,"26.479447,89.520807"
273,APDC,ALIPUR DUAR CRT,"26.499305,89.526858"
274,APDJ,ALIPUR DUAR JN,"26.522999,89.533768"
275,APE,ANDANAPPETTAI,"10.759133,79.844406"
276,APG,ANUPGANJ,"26.756992,81.125793"
277,APH,ANUPGARH,"29.1968877,73.2045543"
278,API,AKKARAIPPATTI,"9.259591,77.563648"
279,APJ,AMARPUR JORASI,"28.02153,76.075859"
280,APK,ARUPPUKKOTTAI,"9.524761681,78.10202147"
281,APL,APPIKATLA,"15.970241,80.514336"
282,APN,AYODHYAPATTANAM,"11.671822,78.234072"
283,APR,ANUPPUR JN,"23.117312,81.695967"
284,APRD,APURVA PH,"21.727371,87.638171"
285,APRH,ALEHPUR HALT,"0,0"
286,APT,ANAPARTI,"16.935837,81.953201"
287,APTA,APTA,"18.863651,73.152809"
288,APU,ANIPUR,"24.545796,92.434587"
289,AQG,ASHAPURA GOMAT,"26.950382,71.892815"
290,ARA,ARA,"25.548869,84.662576"
291,ARAG,ARAG,"16.823438,74.790974"
292,ARCL,ARUNACHAL,"24.855833,92.743235"
293,ARD,AMARDA ROAD,"21.734068,87.102184"
294,ARE,ARNETHA,"25.373421,75.998225"
295,ARG,ANGAR GHAT,"25.794945,85.906734"
296,ARGD,ARIGADA,"23.643581,85.466595"
297,ARGL,ARGUL,"20.12424672,85.67070007"
298,ARGP,ARALAGUPPE,"13.253062,76.615369"
299,ARH,AMHERA,"29.26247824,78.28604221"
300,ARI,ANTRI,"26.082765,78.203344"
301,ARJ,AUNRIHAR JN,"25.54492,83.187532"
302,ARK,ARAKKU,"18.333751,82.86232"
303,ARKA,ARKHA,"25.867526,81.331487"
304,ARL,ARAUL MAKANPUR,"26.920692,80.018663"
305,ARN,ARAND,"21.101797,82.182713"
306,ARNA,ARNIA,"27.008973,76.515827"
307,ARNG,ARUNNAGAR,"20.730107,79.979267"
308,ARNH,ARJUNAHALLI,"12.512587,76.391459"
309,AROR,AROOR HALT,"9.8788931,76.302623"
310,ARP,ATRAMPUR,"25.572021,81.745663"
311,ARPL,AREPALLI HALT,"16.270504,77.862339"
312,ARQ,ARARIYA COURT,"26.115061,87.447052"
313,ARR,ARARIYA,"26.136638,87.411518"
314,ARV,ARNI ROAD,"12.630791,79.209023"
315,ARVI,ARVI,"20.995259,78.236131"
316,ARW,AHRAURA ROAD,"25.197019,83.019905"
317,ARX,ARELI,"27.97098,79.886377"
318,AS,ARJANSAR,"28.933726,73.871899"
