Station Code	Station Name	Station Coordinates
ANF	ANANDAPURAM	"14.073644,75.209484"
ANG	AHMADNAGAR	"19.075178,74.721622"
ANGL	ANGUL	"20.859935,85.100484"
ANGR	ANGADGERI HALT	"16.45164366,75.84566116"
ANH	ANKORAH AKORHA	"24.761407,84.169779"
ANI	AJANTI	"21.894314,76.286316"
ANJ	ANJANGAON	"21.166323,77.318773"
ANK	ANKAI	"20.180932,74.45735"
ANKI	ANAKHI	"22.074982,72.85399"
ANKL	ANKOLA	"14.644877,74.332466"
ANM	ANAIMALAI ROAD	"10.624504,76.934681"
ANMD	ARANG MAHANADI	"21.189534,81.955433"
ANND	ANAND JN	"22.561787,72.966213"
ANO	ANJANI	"17.620955,73.399658"
ANP	ANANDTANDAVPUR	"11.145561,79.659119"
ANPR	ANPARA	"24.217066,82.765846"
ANQ	AMNAPUR	"17.049235,74.459324"
ANR	ANARA	"23.480882,86.559563"
ANSB	ANANDPUR SAHIB	"31.2300436,76.5001335"
ANT	ANANTNAG	"0,0"
ANTU	ANTU	"26.06326,81.890888"
ANU	ANANGUR	"11.39674,77.819853"
ANV	ANNAVARAM	"17.269433,82.419477"
ANVR	ANAND VIHAR	"28.6490844,77.3144936"
ANVT	ANAND VIHAR TERMINAL	"28.64321776,77.30744362"
ANW	ANAWAL	"20.84293,73.264389"
ANXY	ANAND VIHAR TEST	"0,0"
ANY	ARUMUGANERI	"8.579324,78.092022"
AO	AONLA	"28.295841,79.16894"
AON	ARAON	"27.115903,78.696699"
AONI	AMONI	"26.44524429,92.91412694"
AOR	ARGORA	"23.346669,85.313988"
AP	ASHOKAPURAM	"12.273922,76.635475"
APA	AMARPURA	"26.111053,74.249382"
APB	ANUPPAMBATTU	"13.304103,80.230579"
APD	ALIPUR DUAR	"26.479447,89.520807"
APDC	ALIPUR DUAR CRT	"26.499305,89.526858"
APDJ	ALIPUR DUAR JN	"26.522999,89.533768"
APE	ANDANAPPETTAI	"10.759133,79.844406"
APG	ANUPGANJ	"26.756992,81.125793"
APH	ANUPGARH	"29.1968877,73.2045543"
API	AKKARAIPPATTI	"9.259591,77.563648"
APJ	AMARPUR JORASI	"28.02153,76.075859"
APK	ARUPPUKKOTTAI	"9.524761681,78.10202147"
APL	APPIKATLA	"15.970241,80.514336"
APN	AYODHYAPATTANAM	"11.671822,78.234072"
APR	ANUPPUR JN	"23.117312,81.695967"
APRD	APURVA PH	"21.727371,87.638171"
APRH	ALEHPUR HALT	"0,0"
APT	ANAPARTI	"16.935837,81.953201"
APTA	APTA	"18.863651,73.152809"
APU	ANIPUR	"24.545796,92.434587"
AQG	ASHAPURA GOMAT	"26.950382,71.892815"
ARA	ARA	"25.548869,84.662576"
ARAG	ARAG	"16.823438,74.790974"
ARCL	ARUNACHAL	"24.855833,92.743235"
ARD	AMARDA ROAD	"21.734068,87.102184"
ARE	ARNETHA	"25.373421,75.998225"
ARG	ANGAR GHAT	"25.794945,85.906734"
ARGD	ARIGADA	"23.643581,85.466595"
ARGL	ARGUL	"20.12424672,85.67070007"
ARGP	ARALAGUPPE	"13.253062,76.615369"
ARH	AMHERA	"29.26247824,78.28604221"
ARI	ANTRI	"26.082765,78.203344"
ARJ	AUNRIHAR JN	"25.54492,83.187532"
ARK	ARAKKU	"18.333751,82.86232"
ARKA	ARKHA	"25.867526,81.331487"
ARL	ARAUL MAKANPUR	"26.920692,80.018663"
ARN	ARAND	"21.101797,82.182713"
ARNA	ARNIA	"27.008973,76.515827"
ARNG	ARUNNAGAR	"20.730107,79.979267"
ARNH	ARJUNAHALLI	"12.512587,76.391459"
AROR	AROOR HALT	"9.8788931,76.302623"
ARP	ATRAMPUR	"25.572021,81.745663"
ARPL	AREPALLI HALT	"16.270504,77.862339"
ARQ	ARARIYA COURT	"26.115061,87.447052"
ARR	ARARIYA	"26.136638,87.411518"
ARV	ARNI ROAD	"12.630791,79.209023"
ARVI	ARVI	"20.995259,78.236131"
ARW	AHRAURA ROAD	"25.197019,83.019905"
ARX	ARELI	"27.97098,79.886377"
AS	ARJANSAR	"28.933726,73.871899"
ASAF	ASIFABAD ROAD	"19.256782,79.416819"
ASAN	ASAN	"29.40102,76.882324"
ASAR	ASARA HALT	"0,0"
ASB	ASANBONI	"22.712144,86.313658"
ASCE	ATHSARAI	"25.68222,81.255913"
ASD	AMBASAMUDRAM	"8.7079316,77.4386834"
ASE	ASAUDAH	"28.73695776,76.85919285"
ASH	AISHBAGH	"26.859069,80.917826"
ASI	ARSENI	"27.243374,80.39413"
ASJP	AMARSAHID JAGDEO PD.	"25.560407,84.410019"
ASK	ARSIKERE JN	"13.314235,76.2518948"
ASKN	ASHOK NAGAR	"24.58028,77.726855"
ASKR	ASHOK NAGAR RD	"22.826544,88.628511"
ASL	ASLAODA	"23.229673,75.615292"
ASLU	ASLU	"28.369048,75.074902"
ASM	ASARMA	"21.461856,73.100281"
ASN	ASANSOL JN	"23.691101,86.974812"
ASO	ASANGAON	"19.439238,73.307819"
ASP	ASPARI	"15.455004,77.356453"
ASR	AMRITSAR JN	"31.631752,74.858265"
ASSH	AISHBAGH	"26.836058,80.908586"
AST	ASAOTI	"28.251318,77.324009"
ASV	ASARVA JN	"23.043721,72.612677"
AT	ASNOTI	"14.876276,74.147673"
ATA	ATA	"26.067577,79.651179"
ATB	ALATTAMBADI	"10.578778,79.640751"
ATC	ARTS COLLEGE	"17.41846,78.519995"
ATDA	ATLADARA	"22.275376,73.153882"
ATE	ATARRA	"25.291267,80.576391"
ATG	ATGAON	"19.467725,73.300352"
ATH	ANTAH	"25.1610171,76.3071084"
ATKS	ATWA KURSATH	"27.13523,80.280447"
ATL	ATHMAL GOLA	"25.45335,85.62315"
ATM	ALTAGRAM	"26.607791,88.946342"
ATMO	AITHAL	"29.805199,78.041382"
ATNR	AWATARNAGAR	"25.764726,84.957104"
ATP	ANANTAPUR	"14.686228,77.595062"
ATPA	AWANTIPURA	"33.894678,74.981861"
ATQ	ARANTANGI	"10.171671,79.003029"
ATR	ATTAR	"21.998764,76.204948"
ATRR	ATRAURA	"25.316602,82.314506"
ATRU	ATRU	"24.8820454,76.6701285"
ATS	ATTABIRA	"21.387869,83.792467"
ATT	ATARI	"31.594474,74.606781"
ATU	ATTUR	"11.595068,78.592372"
ATUL	ATUL	"20.548258,72.927932"
ATW	ATWA MUTHIA HALT	"27.27397,80.415459"
AUB	ALUABARI ROAD	"26.269481,88.18541"
AUBR	ANUGRAHA N ROAD	"24.8555556,84.3294444"
AUI	AURAHI	"25.822531,87.134564"
AUL	AGSAULI	"27.705567,78.444443"
AUN	AURANG NAGAR	"29.044315,75.974922"
AUNG	AUNG	"26.16424,80.544505"
AUR	ATRAULI ROAD	"28.081712,78.206949"
AUS	ANUPSHAHR	"28.965496,75.200558"
AUWA	AUWA	"25.665047,73.564453"
AV	ASVALI	"19.817421,73.751135"
AVD	AVADI	"13.118017,80.100288"
AVK	ARAVANKADU	"11.359464,76.769543"
AVL	AMRITVEL	"21.077012,71.679311"
AVLI	ARAVALLI	"16.620031,81.598635"
AVN	ANAVARDIKHANPET	"13.05088406,79.56773043"
AVP	ABHANPUR JN	"21.052623,81.745319"
AVRD	ARAVALI ROAD	"17.316431,73.53806"
AVS	AUVANESWSAREM	"9.036833,76.853127"
AVT	AVATIHALLI  H	"13.298882,77.726469"
AWB	AURANGABAD	"19.859566,75.310936"
AWG	AWA GARH	"27.463957,78.47311"
AWH	ALEWAHI	"20.3884,79.710617"
AWL	ALAWALPUR	"31.425514,75.642586"
AWM	ASWAPURAM	"17.821017,80.80101"
AWP	AGHWANPUR	"28.939942,78.703265"
AWR	ALWAR	"27.559493,76.621485"
AWT	ALWAR TIRUNAGRI	"8.602026,77.941539"
AWY	ALWAYE	"10.107923,76.356268"
AXA	AMARSAR	"22.585801,70.91692"
AXK	ASOKHAR	"26.525879,78.556194"
AXR	ALLURU ROAD	"14.710471,79.988966"
AY	AYODHYA	"26.787874,82.200694"
AYB	ALIYABAD	"16.877818,75.757856"
AYD	AYANDUR	"11.966952,79.34103"
AYI	AYINGUDI	"10.242163,79.124737"
AYM	ADIYAKKAMUNGALM	"10.757088,79.68092"
AYN	AIYANAPURAM	"10.788707,78.929193"
AYR	AYYALUR	"10.483381,78.157039"
AYRN	AKSHAYWAT RAI NAGAR	"25.696375,85.28017"
AYU	ABHAYAPURI ASAM	"26.356959,90.642056"
AYV	ARYANKAVU	"8.9812442,77.1529269"
AZ	AZIMGANJ JN	"24.218553,88.256264"
AZA	AZARA	"26.09903,91.613617"
AZK	AZHWARKURICHI	"8.789065,77.375507"
